Day,Network_Availability_2G,Network_Availability_3G,Network_Availability_4G,2G_CSSR,3G_CSSR,2G_DCR,3G_DCR,3G_Throughput(Mbps),4G_Throughput(Mbps),umts_max_HS_user_BHV,lte_rrc_connected_user_BHV,gsm_tch_traffic,umts_traffic_cs,umts_traffic_vol_TB,lte_traffic_vol_dl_ul_TB,VoLTE_cdr,VoLTE_cssr,VoLTE_total_voice_traffic
10/26/2020 00:00,98.89 %,99.19 %,99.50 %,96.97 %,99.66 %,0.54 %,0.54 %,1.01 Mbps,7.94 Mbps,1033761.71,9706395.29,741440.33 E,967499.06 E,1151.47 TB,14166.834 TB,2.16 %,97.83 %,625.46
10/27/2020 00:00,98.92 %,99.25 %,99.55 %,96.74 %,99.64 %,0.57 %,0.54 %,1.03 Mbps,7.85 Mbps,1037034.56,9729948.92,745927.31 E,966164.86 E,1169.03 TB,14286.997 TB,2.05 %,97.64 %,616.47
